week_start,week_end,is_partial_week,state_code,product,measurement_unit,average_price,median_price,minimum_price,maximum_price,price_observations,station_count
2025-12-29,2026-01-04,True,PR,DIESEL,R$ / litro,5.841,5.79,5.59,6.19,18,18
2025-12-29,2026-01-04,True,PR,DIESEL S10,R$ / litro,5.962,5.915,5.64,6.29,18,18
2025-12-29,2026-01-04,True,PR,ETANOL,R$ / litro,4.515,4.49,4.29,4.79,27,27
2025-12-29,2026-01-04,True,PR,GASOLINA,R$ / litro,6.339,6.38,5.99,6.49,27,27
2025-12-29,2026-01-04,True,PR,GASOLINA ADITIVADA,R$ / litro,6.474,6.49,6.03,6.79,23,23
2025-12-29,2026-01-04,True,RJ,DIESEL,R$ / litro,6.549,6.85,5.74,6.89,7,7
2025-12-29,2026-01-04,True,RJ,DIESEL S10,R$ / litro,6.646,6.84,5.84,6.99,8,8
2025-12-29,2026-01-04,True,RJ,ETANOL,R$ / litro,5.189,5.19,4.98,5.39,11,11
2025-12-29,2026-01-04,True,RJ,GASOLINA,R$ / litro,6.582,6.59,6.35,6.89,13,13
2025-12-29,2026-01-04,True,RJ,GASOLINA ADITIVADA,R$ / litro,6.742,6.79,6.45,6.99,13,13
2025-12-29,2026-01-04,True,RJ,GNV,R$ / m³,4.96,4.985,4.88,4.99,4,4
2025-12-29,2026-01-04,True,RN,DIESEL,R$ / litro,6.44,6.44,5.99,6.89,2,2
2025-12-29,2026-01-04,True,RN,DIESEL S10,R$ / litro,6.24,5.99,5.99,6.99,4,4
2025-12-29,2026-01-04,True,RN,ETANOL,R$ / litro,4.715,4.49,4.29,5.59,4,4
2025-12-29,2026-01-04,True,RN,GASOLINA,R$ / litro,6.065,5.865,5.74,6.79,4,4
2025-12-29,2026-01-04,True,RN,GASOLINA ADITIVADA,R$ / litro,5.903,5.84,5.78,6.09,3,3
2025-12-29,2026-01-04,True,RS,DIESEL,R$ / litro,6.238,6.25,5.49,6.85,26,26
2025-12-29,2026-01-04,True,RS,DIESEL S10,R$ / litro,6.347,6.345,5.94,6.95,28,28
2025-12-29,2026-01-04,True,RS,ETANOL,R$ / litro,5.069,4.99,4.59,5.69,19,19
2025-12-29,2026-01-04,True,RS,GASOLINA,R$ / litro,6.351,6.39,5.85,6.69,39,39
2025-12-29,2026-01-04,True,RS,GASOLINA ADITIVADA,R$ / litro,6.552,6.59,5.89,7.09,40,40
2025-12-29,2026-01-04,True,SP,DIESEL,R$ / litro,6.005,5.99,5.57,6.69,33,33
2025-12-29,2026-01-04,True,SP,DIESEL S10,R$ / litro,6.057,5.99,5.59,7.09,43,43
2025-12-29,2026-01-04,True,SP,ETANOL,R$ / litro,4.385,4.39,3.89,4.99,67,67
2025-12-29,2026-01-04,True,SP,GASOLINA,R$ / litro,6.208,6.19,5.49,6.79,67,67
2025-12-29,2026-01-04,True,SP,GASOLINA ADITIVADA,R$ / litro,6.516,6.49,5.75,7.09,49,49
2025-12-29,2026-01-04,True,SP,GNV,R$ / m³,3.83,3.69,3.39,4.49,5,5
2025-12-29,2026-01-04,True,TO,DIESEL,R$ / litro,5.94,5.94,5.89,5.99,2,2
2025-12-29,2026-01-04,True,TO,DIESEL S10,R$ / litro,5.94,5.94,5.89,5.99,2,2
2025-12-29,2026-01-04,True,TO,ETANOL,R$ / litro,5.295,5.295,4.69,5.9,2,2
2025-12-29,2026-01-04,True,TO,GASOLINA,R$ / litro,6.57,6.57,6.55,6.59,2,2
2025-12-29,2026-01-04,True,TO,GASOLINA ADITIVADA,R$ / litro,6.67,6.67,6.65,6.69,2,2
2026-01-05,2026-01-11,False,AC,DIESEL,R$ / litro,7.312,7.35,6.95,7.49,9,9
2026-01-05,2026-01-11,False,AC,DIESEL S10,R$ / litro,7.387,7.45,6.99,7.54,7,7
2026-01-05,2026-01-11,False,AC,ETANOL,R$ / litro,5.213,5.19,5.1,5.29,9,9
2026-01-05,2026-01-11,False,AC,GASOLINA,R$ / litro,7.246,7.305,6.79,7.39,10,10
2026-01-05,2026-01-11,False,AC,GASOLINA ADITIVADA,R$ / litro,7.292,7.39,6.79,7.45,10,10
2026-01-05,2026-01-11,False,AL,DIESEL,R$ / litro,6.487,6.69,5.79,6.98,7,7
2026-01-05,2026-01-11,False,AL,DIESEL S10,R$ / litro,6.243,6.15,5.66,6.98,27,27
2026-01-05,2026-01-11,False,AL,ETANOL,R$ / litro,4.905,4.99,4.25,5.49,51,51
2026-01-05,2026-01-11,False,AL,GASOLINA,R$ / litro,6.251,6.355,5.57,6.99,58,58
2026-01-05,2026-01-11,False,AL,GASOLINA ADITIVADA,R$ / litro,6.375,6.39,5.58,7.28,41,41
2026-01-05,2026-01-11,False,AL,GNV,R$ / m³,4.446,4.59,3.99,5.19,8,8
2026-01-05,2026-01-11,False,AM,DIESEL,R$ / litro,6.613,6.49,6.49,8.33,15,15
2026-01-05,2026-01-11,False,AM,DIESEL S10,R$ / litro,6.862,6.49,6.47,8.39,36,36
2026-01-05,2026-01-11,False,AM,ETANOL,R$ / litro,5.495,5.49,5.47,5.59,31,31
2026-01-05,2026-01-11,False,AM,GASOLINA,R$ / litro,7.21,6.99,6.97,8.29,47,47
2026-01-05,2026-01-11,False,AM,GASOLINA ADITIVADA,R$ / litro,7.264,6.99,6.98,8.39,41,41
2026-01-05,2026-01-11,False,AM,GNV,R$ / m³,3.99,3.99,3.99,3.99,2,2
2026-01-05,2026-01-11,False,BA,DIESEL,R$ / litro,6.132,6.09,5.59,6.9,131,131
2026-01-05,2026-01-11,False,BA,DIESEL S10,R$ / litro,6.211,6.19,5.69,6.95,168,168
2026-01-05,2026-01-11,False,BA,ETANOL,R$ / litro,4.97,4.98,4.33,5.89,195,195
2026-01-05,2026-01-11,False,BA,GASOLINA,R$ / litro,6.497,6.5,5.89,6.99,217,217
2026-01-05,2026-01-11,False,BA,GASOLINA ADITIVADA,R$ / litro,6.602,6.59,5.93,7.67,155,155
2026-01-05,2026-01-11,False,BA,GNV,R$ / m³,4.489,4.44,3.99,5.79,14,14
2026-01-05,2026-01-11,False,CE,DIESEL,R$ / litro,6.218,6.19,5.82,6.59,17,17
2026-01-05,2026-01-11,False,CE,DIESEL S10,R$ / litro,6.066,5.99,5.49,6.79,128,128
2026-01-05,2026-01-11,False,CE,ETANOL,R$ / litro,4.968,4.89,4.26,5.88,129,129
2026-01-05,2026-01-11,False,CE,GASOLINA,R$ / litro,6.219,6.12,5.65,6.7,145,145
2026-01-05,2026-01-11,False,CE,GASOLINA ADITIVADA,R$ / litro,6.366,6.39,5.77,6.89,121,121
2026-01-05,2026-01-11,False,CE,GNV,R$ / m³,5.235,5.15,5.15,6.09,11,11
2026-01-05,2026-01-11,False,DF,DIESEL,R$ / litro,5.948,5.965,5.85,6.09,22,22
2026-01-05,2026-01-11,False,DF,DIESEL S10,R$ / litro,6.003,5.955,5.79,6.59,20,20
2026-01-05,2026-01-11,False,DF,ETANOL,R$ / litro,4.863,4.99,4.47,4.99,33,33
2026-01-05,2026-01-11,False,DF,GASOLINA,R$ / litro,6.499,6.585,6.09,6.59,48,48
2026-01-05,2026-01-11,False,DF,GASOLINA ADITIVADA,R$ / litro,6.607,6.59,6.15,7.04,46,46
2026-01-05,2026-01-11,False,ES,DIESEL,R$ / litro,6.0,5.99,5.79,6.49,37,37
2026-01-05,2026-01-11,False,ES,DIESEL S10,R$ / litro,6.067,5.99,5.85,6.59,61,61
2026-01-05,2026-01-11,False,ES,ETANOL,R$ / litro,4.7,4.68,4.35,5.29,69,69
2026-01-05,2026-01-11,False,ES,GASOLINA,R$ / litro,6.438,6.29,6.05,7.14,102,102
2026-01-05,2026-01-11,False,ES,GASOLINA ADITIVADA,R$ / litro,6.596,6.59,6.05,7.44,85,85
2026-01-05,2026-01-11,False,ES,GNV,R$ / m³,4.252,4.09,4.07,4.59,11,11
2026-01-05,2026-01-11,False,GO,DIESEL,R$ / litro,5.967,5.89,5.49,7.06,88,88
2026-01-05,2026-01-11,False,GO,DIESEL S10,R$ / litro,6.049,5.99,5.57,7.17,121,121
2026-01-05,2026-01-11,False,GO,ETANOL,R$ / litro,4.91,4.97,3.99,5.27,156,156
2026-01-05,2026-01-11,False,GO,GASOLINA,R$ / litro,6.407,6.49,5.69,6.69,163,163
2026-01-05,2026-01-11,False,GO,GASOLINA ADITIVADA,R$ / litro,6.59,6.58,5.69,7.27,102,102
2026-01-05,2026-01-11,False,MA,DIESEL,R$ / litro,6.073,5.995,5.55,6.82,34,34
2026-01-05,2026-01-11,False,MA,DIESEL S10,R$ / litro,6.02,5.89,5.62,6.82,74,74
2026-01-05,2026-01-11,False,MA,ETANOL,R$ / litro,4.95,4.99,4.59,5.69,56,56
2026-01-05,2026-01-11,False,MA,GASOLINA,R$ / litro,6.055,6.04,5.58,6.99,88,88
2026-01-05,2026-01-11,False,MA,GASOLINA ADITIVADA,R$ / litro,6.184,6.09,5.58,7.19,54,54
2026-01-05,2026-01-11,False,MG,DIESEL,R$ / litro,5.968,5.94,5.39,6.69,221,221
2026-01-05,2026-01-11,False,MG,DIESEL S10,R$ / litro,6.059,5.99,5.49,6.99,292,292
